frame_index_zero_based,source_pts_seconds,generated_pts_seconds,generated_minus_source_ms,source_display_duration_seconds,generated_display_duration_seconds,pts_equal
0,0.000000000000,0.000000000000,0.000000000,0.016683333333,0.016683333333,True
1,0.016683333333,0.016683333333,0.000000000,0.016683333333,0.016683333333,True
2,0.033366666667,0.033366666667,0.000000000,0.016683333333,0.016683333333,True
3,0.050050000000,0.050050000000,0.000000000,0.016683333333,0.016683333333,True
4,0.066733333333,0.066733333333,0.000000000,0.016683333333,0.016683333333,True
5,0.083416666667,0.083416666667,0.000000000,0.016683333333,0.016683333333,True
6,0.100100000000,0.100100000000,0.000000000,0.016683333333,0.016683333333,True
7,0.116783333333,0.116783333333,0.000000000,0.016683333333,0.016683333333,True
8,0.133466666667,0.133466666667,0.000000000,0.016683333333,0.016683333333,True
9,0.150150000000,0.150150000000,0.000000000,0.016683333333,0.016683333333,True
10,0.166833333333,0.166833333333,0.000000000,0.016683333333,0.016683333333,True
11,0.183516666667,0.183516666667,0.000000000,0.016683333333,0.016683333333,True
12,0.200200000000,0.200200000000,0.000000000,0.016683333333,0.016683333333,True
13,0.216883333333,0.216883333333,0.000000000,0.016683333333,0.016683333333,True
14,0.233566666667,0.233566666667,0.000000000,0.016683333333,0.016683333333,True
15,0.250250000000,0.250250000000,0.000000000,0.016683333333,0.016683333333,True
16,0.266933333333,0.266933333333,0.000000000,0.016683333333,0.016683333333,True
17,0.283616666667,0.283616666667,0.000000000,0.016683333333,0.016683333333,True
18,0.300300000000,0.300300000000,0.000000000,0.016683333333,0.016683333333,True
19,0.316983333333,0.316983333333,0.000000000,0.016683333333,0.016683333333,True
20,0.333666666667,0.333666666667,0.000000000,0.016683333333,0.016683333333,True
21,0.350350000000,0.350350000000,0.000000000,0.016683333333,0.016683333333,True
22,0.367033333333,0.367033333333,0.000000000,0.016683333333,0.016683333333,True
23,0.383716666667,0.383716666667,0.000000000,0.016683333333,0.016683333333,True
24,0.400400000000,0.400400000000,0.000000000,0.016683333333,0.016683333333,True
25,0.417083333333,0.417083333333,0.000000000,0.016683333333,0.016683333333,True
26,0.433766666667,0.433766666667,0.000000000,0.016683333333,0.016683333333,True
27,0.450450000000,0.450450000000,0.000000000,0.016683333333,0.016683333333,True
28,0.467133333333,0.467133333333,0.000000000,0.016683333333,0.016683333333,True
29,0.483816666667,0.483816666667,0.000000000,0.016683333333,0.016683333333,True
30,0.500500000000,0.500500000000,0.000000000,0.016683333333,0.016683333333,True
31,0.517183333333,0.517183333333,0.000000000,0.016683333333,0.016683333333,True
32,0.533866666667,0.533866666667,0.000000000,0.016683333333,0.016683333333,True
33,0.550550000000,0.550550000000,0.000000000,0.016683333333,0.016683333333,True
34,0.567233333333,0.567233333333,0.000000000,0.016683333333,0.016683333333,True
35,0.583916666667,0.583916666667,0.000000000,0.016683333333,0.016683333333,True
36,0.600600000000,0.600600000000,0.000000000,0.016683333333,0.016683333333,True
37,0.617283333333,0.617283333333,0.000000000,0.016683333333,0.016683333333,True
38,0.633966666667,0.633966666667,0.000000000,0.016683333333,0.016683333333,True
39,0.650650000000,0.650650000000,0.000000000,0.016683333333,0.016683333333,True
40,0.667333333333,0.667333333333,0.000000000,0.016683333333,0.016683333333,True
